sid,title@EN,title@DE,type,sameAsWikidata,partOfWikidata,imageSource,imageURL,germanRegionalKey
se6Cu,Albania,Albanien,country,http://www.wikidata.org/entity/Q222,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania.svg,https://opendata.guru/api-data/assets/se6Cu.svg,
sMqPC,Belgium,Belgien,country,http://www.wikidata.org/entity/Q31,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium.svg,https://opendata.guru/api-data/assets/sMqPC.svg,
sB46x,Bulgaria,Bulgarien,country,http://www.wikidata.org/entity/Q219,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria.svg,https://opendata.guru/api-data/assets/sB46x.svg,
seVwg,Cyprus,Zypern,country,http://www.wikidata.org/entity/Q229,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cyprus.svg,https://opendata.guru/api-data/assets/seVwg.svg,
sWpkw,"Czech Republic",Tschechien,country,http://www.wikidata.org/entity/Q213,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Czech%20Republic.svg,https://opendata.guru/api-data/assets/sWpkw.svg,
sYcVf,,"🇨🇿 Tschechien, DGA-NSIP",countryAgency,,,,,
svwHM,"Czech Office of Surveying and Cadastre",,countryAgency,http://www.wikidata.org/entity/Q11379528,,,,
sm1SK,"Czech Geological Survey","Tschechischer Geologischer Dienst",countryAgency,http://www.wikidata.org/entity/Q11280554,,,,
sZHkA,,"🇨🇿 Tschechien, INSPIRE Geoportal",countryAgency,,,,,
sQ5kj,Denmark,Dänemark,country,http://www.wikidata.org/entity/Q35,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Denmark.svg,https://opendata.guru/api-data/assets/sQ5kj.svg,
sJ8bv,"Danish Geodata Agency",Geodatastyrelsen,countryAgency,http://www.wikidata.org/entity/Q6573171,,,,
sn8MC,Estonia,Estland,country,http://www.wikidata.org/entity/Q191,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Estonia.svg,https://opendata.guru/api-data/assets/sn8MC.svg,
s691g,"Land Board","Estnisches Bodenamt",countryAgency,http://www.wikidata.org/entity/Q5401570,,,,
s3t18,Spain,Spanien,country,http://www.wikidata.org/entity/Q29,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg,https://opendata.guru/api-data/assets/s3t18.svg,
sLFrk,"Ministry of Development","Ministerio de Fomento",countryAgency,http://www.wikidata.org/entity/Q1657635,,http://commons.wikimedia.org/wiki/Special:FilePath/Logotipo%20del%20Ministerio%20de%20Transportes%2C%20Movilidad%20y%20Agenda%20Urbana.svg,https://opendata.guru/api-data/assets/sLFrk.svg,
slxDp,Eurostat,Eurostat,supranationalAgency,http://www.wikidata.org/entity/Q217659,,http://commons.wikimedia.org/wiki/Special:FilePath/Eurostat%20Newlogo.png,https://opendata.guru/api-data/assets/slxDp.png,
sYyj9,"European Union","Europäische Union",supranational,http://www.wikidata.org/entity/Q458,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Europe.svg,https://opendata.guru/api-data/assets/sYyj9.svg,
svqVB,Finland,Finnland,country,http://www.wikidata.org/entity/Q33,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Finland.svg,https://opendata.guru/api-data/assets/svqVB.svg,
sJS2x,"Finnish Meteorological Institute","Finnisches meteorologisches Institut",federalAgency,http://www.wikidata.org/entity/Q3266959,,,,
sElCD,France,Frankreich,country,http://www.wikidata.org/entity/Q142,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France%20%281794%E2%80%931815%2C%201830%E2%80%931974%29.svg,https://opendata.guru/api-data/assets/sElCD.svg,
sLhfv,,"🇫🇷 Frankreich, Geodaten",countryAgency,,,,,
str4c,,"🇫🇷 Frankreich, Wasserdaten",countryAgency,,,,,
svqE0,"United Kingdom","Vereinigtes Königreich",country,http://www.wikidata.org/entity/Q145,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%283-5%29.svg,https://opendata.guru/api-data/assets/svqE0.svg,
sec31,Greece,Griechenland,country,http://www.wikidata.org/entity/Q41,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Greece.svg,https://opendata.guru/api-data/assets/sec31.svg,
s19wW,Croatia,Kroatien,country,http://www.wikidata.org/entity/Q224,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Croatia.svg,https://opendata.guru/api-data/assets/s19wW.svg,
sbOuY,,"🇭🇷 Kroatien, Geodaten",countryAgency,,,,,
sxgAu,Hungary,Ungarn,country,http://www.wikidata.org/entity/Q28,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hungary.svg,https://opendata.guru/api-data/assets/sxgAu.svg,
sPfDH,,"🇭🇺 Ungarn, Geodaten",countryAgency,,,,,
suWbo,"Republic of Ireland",Irland,country,http://www.wikidata.org/entity/Q27,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg,https://opendata.guru/api-data/assets/suWbo.svg,
sydV9,Iceland,Island,country,http://www.wikidata.org/entity/Q189,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iceland.svg,https://opendata.guru/api-data/assets/sydV9.svg,
swzaJ,,"🇮🇸 Island, Geodaten",countryAgency,,,,,
s3fCK,Italy,Italien,country,http://www.wikidata.org/entity/Q38,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Italy.svg,https://opendata.guru/api-data/assets/s3fCK.svg,
s1VAo,,"🇮🇹 Italien, Geodaten",countryAgency,,,,,
sGJB9,,"🇱🇮 Liechtenstein, Geodaten",countryAgency,,,,,
